name,power,area,delay
mul8_146,165.20000000000002,215.280003,0.67016
mul8_116,183.5,244.452004,0.72304
mul8_127,156.4,202.332003,0.63839
mul8_80,172.0,234.624004,0.68236
mul8_94,166.9,219.024004,0.67813
mul8_54,161.0,209.976004,0.67412
mul8_22,156.4,206.388004,0.60756
mul8_132,158.6,205.764003,0.67016
mul8_98,162.39999999999998,206.232003,0.61637
mul8_0,165.8,217.776004,0.63796
mul8_24,160.5,209.196004,0.62976
mul8_107,155.70000000000002,201.864003,0.65996
mul8_112,165.3,217.776004,0.66292
mul8_8,149.4,201.864003,0.611
mul8_151,178.0,239.304004,0.75005
mul8_67,154.6,203.736004,0.60772
mul8_33,159.6,209.664004,0.62976
mul8_57,179.7,242.892004,0.69817
mul8_37,159.5,209.196004,0.6352
mul8_113,173.7,238.992004,0.72624
mul8_99,165.6,221.520004,0.63409
mul8_60,160.1,210.132004,0.65731
mul8_55,159.1,204.360004,0.63579
mul8_121,162.39999999999998,213.564004,0.65917
mul8_105,159.1,203.112003,0.60763
mul8_139,163.3,213.096004,0.64776
mul8_109,156.6,204.516004,0.62923
mul8_138,157.4,204.672004,0.6496
mul8_148,158.4,209.976004,0.6352
mul8_120,159.8,209.976004,0.62977
mul8_52,162.6,211.224004,0.64219
mul8_20,160.39999999999998,208.728004,0.6352
mul8_64,156.79999999999998,203.112004,0.60972
mul8_95,156.1,203.892004,0.60747
mul8_40,152.60000000000002,202.956003,0.60785
mul8_136,160.20000000000002,205.296003,0.61726
mul8_78,166.1,215.124004,0.66092
mul8_44,155.20000000000002,203.112004,0.64144
mul8_91,154.1,205.452004,0.61774
mul8_51,159.20000000000002,208.728004,0.63504
mul8_147,164.8,216.372003,0.66714
mul8_41,156.5,205.920004,0.60756
mul8_77,164.5,227.760004,0.64132
mul8_97,158.20000000000002,209.508004,0.62976
mul8_118,157.79999999999998,206.856004,0.63284
mul8_126,154.5,204.204004,0.64154
mul8_58,171.4,231.348003,0.67804
mul8_145,159.39999999999998,205.608004,0.65179
mul8_48,167.4,238.212003,0.6664
mul8_25,163.89999999999998,212.628004,0.65399
mul8_93,167.0,220.584004,0.66656
mul8_2,159.20000000000002,204.360004,0.63151
mul8_117,155.0,203.892004,0.60772
mul8_45,162.5,208.884004,0.61634
mul8_74,171.6,234.156004,0.67274
mul8_66,171.4,233.688004,0.67212
mul8_38,158.0,207.324003,0.62257
mul8_129,173.0,233.376004,0.68063
mul8_104,165.3,216.684004,0.64901
mul8_69,172.6,232.908004,0.6664
mul8_14,168.4,221.052004,0.66461
mul8_111,156.79999999999998,205.140004,0.63037
mul8_31,156.9,206.076004,0.60756
mul8_133,156.29999999999998,201.396004,0.59828
mul8_101,155.6,204.048004,0.62792
mul8_75,172.5,235.092004,0.66764
mul8_88,156.9,207.480003,0.62257
mul8_46,161.70000000000002,211.692004,0.64219
mul8_102,166.8,233.220004,0.65763
mul8_36,164.6,237.276004,0.6603
mul8_110,160.1,210.444004,0.66469
mul8_122,165.0,214.500003,0.66358
mul8_150,164.3,224.172004,0.66799
mul8_35,158.0,202.644003,0.60479
mul8_50,164.1,222.300003,0.6676
mul8_106,156.0,202.020003,0.65996
mul8_86,164.89999999999998,216.372004,0.66122
mul8_34,155.1,204.360004,0.61765
mul8_29,157.1,205.452004,0.62062
mul8_26,159.5,210.288004,0.66322
mul8_71,165.3,212.784004,0.63521
