tree_name,application,loc,ME,gate_counts,lut
tmp_tree_0,resnet18_cifar10,lh,0.0,47,"[0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 3, 0, 1, 1, 2]"
tmp_tree_1,resnet18_cifar10,lh,-4.102003765765775e-05,43,"[0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 3, 0, 1, 1, 2]"
tmp_tree_2,resnet18_cifar10,lh,-5.2477837824715115e-05,41,"[0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 3, 0, 1, 1, 2]"
tmp_tree_3,resnet18_cifar10,lh,0.0,59,"[0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2]"
tmp_tree_4,resnet18_cifar10,lh,-1.1457800167057368e-05,45,"[0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 3, 0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0, 1, 1, 2, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 3, 0, 1, 1, 2]"
