mul_name,application,loc,lut,ME,gate_counts
tmp_mul2_0,resnet18_cifar10,lllh,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 4, 6, 0, 3, 5, 7]",-0.367946970066526,4
tmp_mul2_1,resnet18_cifar10,lllh,"[0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 4, 6, 0, 3, 6, 9]",0.0,8
tmp_mul2_2,resnet18_cifar10,lllh,"[0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 4, 6, 0, 3, 6, 7]",-0.13444637233956275,5
tmp_mul2_3,resnet18_cifar10,lllh,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 4, 6, 0, 3, 4, 7]",-0.4906959547979227,3
