mul_name,application,loc,lut,ME,gate_counts
tmp_mul2_0,resnet18_cifar10,lhll,"[0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 4, 6, 0, 3, 6, 9]",0.0,8
tmp_mul2_1,resnet18_cifar10,lhll,"[0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 4, 6, 0, 3, 6, 7]",-0.16500933061558734,5
