mul_name,application,loc,lut,ME,gate_counts
tmp_mul2_0,resnet18_cifar10,hlhh,"[0, 0, 0, 0, 0, 1, 2, 3, 0, 1, 4, 5, 0, 1, 6, 7]",-0.0015255955939121536,4
tmp_mul2_1,resnet18_cifar10,hlhh,"[0, 0, 0, 0, 0, 1, 2, 3, 0, 0, 4, 4, 0, 1, 6, 7]",-0.0023226342749524008,3
tmp_mul2_2,resnet18_cifar10,hlhh,"[0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 4, 6, 0, 3, 6, 9]",0.0,8
tmp_mul2_3,resnet18_cifar10,hlhh,"[0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 4, 6, 0, 3, 6, 7]",-0.00036401625918201677,5
